# Revision 1.0,13-Feb-14,Initial release,,,,,,,,,,
# Revision 1.1,14-May-14,"Added csfBGA256, csfBGA324, caBGA324, caBGA400 packages",,,,,,,,,,
# Revision 1.2,12-Sep-14,New csfBGA pinouts,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,CABGA256,CABGA400,CABGA324,CSFBGA324,CSFBGA256
209,PB23D,2,-,Comp_OF_PB23C,-,,-,-,R11,T11,T8,-
210,PB26A,2,-,True_OF_PB26B,-,,-,R9,Y13,V11,R8,N8
211,VCC,-,-,-,-,,-,-,-,-,-,-
212,PB26B,2,-,Comp_OF_PB26A,-,,-,T10,W13,V12,P8,M8
213,PB26C,2,-,True_OF_PB26D,-,,-,M9,V12,N11,N8,T6
214,NC,-,-,-,-,,-,-,-,-,-,-
215,GND,-,-,-,-,,+,-,-,-,-,-
216,PB26D,2,-,Comp_OF_PB26C,-,,+,L10,V13,R11,M8,R6
217,PB28C,2,-,True_OF_PB28D,-,,+,-,U12,-,-,-
218,VCCIO2,2,-,-,-,,+,-,-,-,-,-
219,PB28D,2,-,Comp_OF_PB28C,-,,+,-,T11,-,-,-
220,PB28A,2,-,True_OF_PB28B,-,,+,N10,Y14,P11,U8,P7
221,NC,-,-,-,-,,+,-,-,-,-,-
222,VCCIO2,2,-,-,-,,+,-,-,-,-,-
223,PB28B,2,-,Comp_OF_PB28A,-,,+,M11,W14,T12,V8,P6
224,PB29A,2,-,True_OF_PB29B,-,,+,P10,Y15,U12,V7,T5
225,VCC,-,-,-,-,,+,-,-,-,-,-
226,PB29B,2,-,Comp_OF_PB29A,-,,+,R10,W15,V13,U7,R5
227,PB29C,2,-,True_OF_PB29D,-,,+,-,P12,-,-,-
228,GND,-,-,-,-,,-,-,-,-,-,-
229,PB29D,2,-,Comp_OF_PB29C,-,,-,-,R12,-,-,-
230,PB31A,2,-,True_OF_PB31B,-,,-,T11,Y16,U13,T7,N7
231,VCCIO2,2,-,-,-,,-,-,-,-,-,-
232,PB31B,2,-,Comp_OF_PB31A,-,,-,P11,W16,V14,R7,M7
233,PB31C,2,-,True_OF_PB31D,-,,-,M10,T12,R12,P7,T4
234,GND,-,-,-,-,,+,-,-,-,-,-
235,PB31D,2,-,Comp_OF_PB31C,-,,+,N11,T13,T13,N7,R4
236,PB32A,2,-,True_OF_PB32B,-,,+,-,Y17,T14,V6,-
237,GND,-,-,-,-,,-,-,-,-,-,-
238,PB32B,2,-,Comp_OF_PB32A,-,,-,-,W17,N12,U6,-
239,PB32C,2,-,True_OF_PB32D,-,,-,-,P13,-,-,-
240,GND,-,-,-,-,,+,-,-,-,-,-
